Date,Province,District,Total Cases,Recovered,Death,Under Treatment
2020-12-06,Province 1,Ilam,393,302,5,86
2020-12-06,Province 1,Udayapur,626,589,8,29
2020-12-06,Province 1,Okhaldhunga,240,209,2,29
2020-12-06,Province 1,Khotang,206,197,0,9
2020-12-06,Province 1,Jhapa,4509,3974,31,504
2020-12-06,Province 1,Taplejung,127,86,0,41
2020-12-06,Province 1,Terhathum,136,129,5,2
2020-12-06,Province 1,Dhankuta,249,227,6,16
2020-12-06,Province 1,Panchthar,155,138,0,17
2020-12-06,Province 1,Bhojpur,143,127,2,14
2020-12-06,Province 1,Morang,12352,11775,63,514
2020-12-06,Province 1,Sankhuwasabha,340,305,0,35
2020-12-06,Province 1,Sunsari,8561,8271,72,218
2020-12-06,Province 1,Solukhumbu,166,158,2,6
2020-12-06,Province 2,Dhanusa,2956,2898,26,32
2020-12-06,Province 2,Parsa,3414,3339,54,21
2020-12-06,Province 2,Bara,2089,2034,27,28
2020-12-06,Province 2,Mahottari,2003,1971,19,13
2020-12-06,Province 2,Rautahat,2758,2719,17,22
2020-12-06,Province 2,Saptari,2062,2013,21,28
2020-12-06,Province 2,Sarlahi,2810,2780,15,15
2020-12-06,Province 2,Siraha,2210,2138,19,53
2020-12-06,Bagmati,Kathmandu,90428,84664,407,5357
2020-12-06,Bagmati,Kavrepalanchok,3126,2893,25,208
2020-12-06,Bagmati,Chitawan,6838,6669,60,109
2020-12-06,Bagmati,Dolakha,644,564,11,69
2020-12-06,Bagmati,Dhading,1559,1456,20,83
2020-12-06,Bagmati,Nuwakot,1292,1148,12,132
2020-12-06,Bagmati,Bhaktapur,8197,7637,95,465
2020-12-06,Bagmati,Makwanpur,4103,3916,33,154
2020-12-06,Bagmati,Rasuwa,162,131,1,30
2020-12-06,Bagmati,Ramechhap,497,460,7,30
2020-12-06,Bagmati,Lalitpur,13837,12626,122,1089
2020-12-06,Bagmati,Sindhupalchok,898,835,14,49
2020-12-06,Bagmati,Sindhuli,536,475,6,55
2020-12-06,Gandaki,Kaski,5749,5018,54,677
2020-12-06,Gandaki,Gorkha,1340,1189,12,139
2020-12-06,Gandaki,Tanahu,1578,1437,16,125
2020-12-06,Gandaki,Nawalparasi East,2818,2688,6,124
2020-12-06,Gandaki,Parbat,397,358,1,38
2020-12-06,Gandaki,Manang,5,5,0,0
2020-12-06,Gandaki,Mustang,38,31,2,5
2020-12-06,Gandaki,Myagdi,216,175,3,38
2020-12-06,Gandaki,Lamjung,913,800,4,109
2020-12-06,Gandaki,Baglung,1070,993,3,74
2020-12-06,Gandaki,Syangja,1039,923,9,107
2020-12-06,Province 5,Arghakhanchi,870,811,6,53
2020-12-06,Province 5,Kapilbastu,2060,1975,16,69
2020-12-06,Province 5,Gulmi,1084,984,10,90
2020-12-06,Province 5,Dang,3719,3306,32,381
2020-12-06,Province 5,Nawalparasi West,1427,1339,19,69
2020-12-06,Province 5,Palpa,1912,1740,5,167
2020-12-06,Province 5,Pyuthan,975,934,4,37
2020-12-06,Province 5,Bardiya,1674,1547,11,116
2020-12-06,Province 5,Banke,4158,3923,37,198
2020-12-06,Province 5,Rukum East,108,102,0,6
2020-12-06,Province 5,Rupandehi,8371,7865,69,437
2020-12-06,Province 5,Rolpa,276,253,3,20
2020-12-06,Karnali,Kalikot,276,272,2,2
2020-12-06,Karnali,Jajarkot,109,100,0,9
2020-12-06,Karnali,Jumla,448,403,0,45
2020-12-06,Karnali,Dolpa,30,29,1,0
2020-12-06,Karnali,Dailekh,1590,1573,3,14
2020-12-06,Karnali,Mugu,31,29,0,2
2020-12-06,Karnali,Rukum West,233,221,2,10
2020-12-06,Karnali,Salyan,638,622,0,16
2020-12-06,Karnali,Surkhet,2750,2730,14,6
2020-12-06,Karnali,Humla,32,29,1,2
2020-12-06,Sudurpaschim,Achham,1410,1242,4,164
2020-12-06,Sudurpaschim,Kanchanpur,1425,1345,6,74
2020-12-06,Sudurpaschim,Kailali,5035,4712,25,298
2020-12-06,Sudurpaschim,Dadeldhura,623,557,0,66
2020-12-06,Sudurpaschim,Doti,1362,1348,1,13
2020-12-06,Sudurpaschim,Darchula,382,351,4,27
2020-12-06,Sudurpaschim,Bajhang,873,794,1,78
2020-12-06,Sudurpaschim,Bajura,676,653,1,22
2020-12-06,Sudurpaschim,Baitadi,639,546,0,93
